NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  24 FCMAX    90.91  8 2023          
  24 TEIFT     0.00  8 2023  9 2023  
  24 GTMIN    12.17  8 2023  8 2023
  24 GTMIN 00306.59 10 2023 12 2023
  24 IPTER    35.48  1 2024  1 2024  
  24 GTMIN   197.81  1 2024  1 2024
  24 IPTER   100.00  2 2024  2 2024  
  24 IPTER    32.26  3 2024  3 2024  
  24 IPTER     0.00  4 2024 12 2024  
  24 GTMIN 00306.59  6 2024 12 2024
  24 GTMIN   256.00  1 2025  1 2025
  24 GTMIN 00259.36  6 2025 12 2025
  24 GTMIN   256.00  1 2026  1 2026
  24 GTMIN 00259.36  6 2026 12 2026
  24 GTMIN   256.00  1 2027  1 2027
  24 GTMIN 00259.36  6 2027 12 2027
 107 POTEF   345.00  8 2023          PAMPA SUL
 107 FCMAX   100.00  8 2023          
 107 TEIFT     0.00  8 2023  9 2023  
 107 GTMIN    38.71  8 2023  8 2023
 107 GTMIN 00257.82 10 2023 12 2023
 107 IPTER     0.00  1 2024  9 2024  
 107 GTMIN 00170.00  1 2024 12 2027
 107 IPTER    16.13 10 2024 10 2024  
 107 IPTER     0.00 11 2024 12 2024  
 149 POTEF     8.00  8 2023          SAO SEPE
 149 FCMAX   100.00  8 2023  9 2023  
 149 TEIFT     0.00  8 2023  9 2023  
 149 GTMIN     0.65  8 2023  8 2023
 149 FCMAX    90.00 10 2023          
 258 POTEF    28.02  7 2026          TROMBUDO
  35 POTEF   639.90  8 2023          URUGUAIANA
  35 FCMAX     0.00  8 2023          
 164 POTEF   147.16  8 2023          APOENA
 164 FCMAX    92.42  8 2023  9 2023  
 164 TEIFT     0.00  8 2023  9 2023  
 164 FCMAX   100.00 10 2023 12 2023  
 164 FCMAX     0.00  1 2024          
  52 POTEF   169.08  8 2023          CAMPINA GDE
  52 FCMAX    99.95  8 2023  9 2023  
  52 TEIFT     0.00  8 2023  9 2023  
  52 FCMAX   100.00 10 2023 12 2024  
  52 FCMAX     0.00  1 2025          
 112 POTEF    30.97  8 2023          CURUMIM
 112 FCMAX    77.50  8 2023  9 2023  
 112 TEIFT     0.00  8 2023  9 2023  
 112 FCMAX    98.00 10 2023 12 2025  
 112 FCMAX     0.00  1 2026          
 106 POTEF    16.79  8 2023          ERB CANDEIAS
 106 FCMAX    62.60  8 2023  8 2023  
 106 TEIFT     0.00  8 2023  9 2023  
 106 GTMIN     3.35  8 2023  8 2023
 106 FCMAX    65.52  9 2023  9 2023  
 106 GTMIN     3.50  9 2023  9 2023
 106 FCMAX    76.83 10 2023          
 106 GTMIN 00004.00 10 2023  8 2024
 106 IPTER     0.00  1 2024  8 2024  
 106 IPTER   100.00  9 2024  9 2024  
 106 IPTER     0.00 10 2024 12 2024  
 106 GTMIN 00004.00 10 2024 12 2027
  42 POTEF   326.60  8 2023          FORTALEZA
  42 FCMAX   100.00  8 2023          
  42 TEIFT     0.00  8 2023  9 2023  
  42 GTMIN 00223.00  1 2024 12 2027
  53 POTEF   148.80  8 2023          GLOBAL I
  53 FCMAX    96.77  8 2023  9 2023  
  53 TEIFT     0.00  8 2023  9 2023  
  53 FCMAX   100.00 10 2023 12 2024  
  53 IPTER     0.00  1 2024  3 2024  
  53 IPTER    20.00  4 2024  4 2024  
  53 IPTER     0.00  5 2024  7 2024  
  53 IPTER    15.05  8 2024  8 2024  
  53 IPTER     0.00  9 2024 12 2024  
  53 FCMAX     0.00  1 2025          
  55 POTEF   148.80  8 2023          GLOBAL II
  55 FCMAX    95.91  8 2023  8 2023  
  55 TEIFT     0.00  8 2023  9 2023  
  55 FCMAX    96.77  9 2023  9 2023  
  55 FCMAX   100.00 10 2023 12 2024  
  55 IPTER     0.00  1 2024  1 2024  
  55 IPTER    16.09  2 2024  2 2024  
  55 IPTER     0.00  3 2024  5 2024  
  55 IPTER    15.56  6 2024  6 2024  
  55 IPTER     0.00  7 2024  9 2024  
  55 IPTER    15.05 10 2024 10 2024  
  55 IPTER     0.00 11 2024 12 2024  
